model,condition,relation,mean,count
gemma2-9b,INV-LEX,Q(ML3),0.6538461538461539,26
gemma2-9b,INV-LEX,Q(T2/L),0.8461538461538461,26
gemma2-9b,INV-LEX,acceleration,1.0,28
gemma2-9b,INV-LEX,area,0.10714285714285714,28
gemma2-9b,INV-LEX,density,0.8928571428571429,28
gemma2-9b,INV-LEX,energy,0.9615384615384616,26
gemma2-9b,INV-LEX,flow rate,1.0,26
gemma2-9b,INV-LEX,force,1.0,28
gemma2-9b,INV-LEX,momentum,0.9615384615384616,26
gemma2-9b,INV-LEX,power,1.0,26
gemma2-9b,INV-LEX,pressure,0.5384615384615384,26
gemma2-9b,INV-LEX,speed,0.9642857142857143,28
gemma2-9b,INV-LEX,volume,1.0,28
gemma2-9b,INV-LEX-TWIN,Q(L3/T5),1.0,26
gemma2-9b,INV-LEX-TWIN,Q(LT),0.7692307692307693,26
gemma2-9b,INV-LEX-TWIN,Q(M/T2),0.8846153846153846,26
gemma2-9b,INV-LEX-TWIN,Q(M2/T),0.8461538461538461,26
gemma2-9b,INV-LEX-TWIN,Q(M2L),0.46153846153846156,26
gemma2-9b,INV-LEX-TWIN,Q(ML3),0.8076923076923077,26
gemma2-9b,INV-LEX-TWIN,Q(T2/L),0.8461538461538461,26
gemma2-9b,INV-LEX-TWIN,acceleration,1.0,28
gemma2-9b,INV-LEX-TWIN,area,0.42857142857142855,28
gemma2-9b,INV-LEX-TWIN,density,1.0,28
gemma2-9b,INV-LEX-TWIN,energy,1.0,26
gemma2-9b,INV-LEX-TWIN,flow rate,0.9615384615384616,26
gemma2-9b,INV-LEX-TWIN,force,1.0,28
gemma2-9b,INV-LEX-TWIN,momentum,0.7692307692307693,26
gemma2-9b,INV-LEX-TWIN,power,0.9615384615384616,26
gemma2-9b,INV-LEX-TWIN,pressure,0.9230769230769231,26
gemma2-9b,INV-LEX-TWIN,speed,1.0,28
gemma2-9b,INV-LEX-TWIN,volume,1.0,28
olmo3-7b,FAM-NAMED,acceleration,1.0,44
olmo3-7b,FAM-NAMED,area,0.45454545454545453,44
olmo3-7b,FAM-NAMED,density,1.0,44
olmo3-7b,FAM-NAMED,energy,0.9545454545454546,44
olmo3-7b,FAM-NAMED,flow rate,0.9761904761904762,42
olmo3-7b,FAM-NAMED,force,0.9772727272727273,44
olmo3-7b,FAM-NAMED,momentum,0.8809523809523809,42
olmo3-7b,FAM-NAMED,power,1.0,44
olmo3-7b,FAM-NAMED,pressure,0.9545454545454546,44
olmo3-7b,FAM-NAMED,speed,0.9545454545454546,44
olmo3-7b,FAM-NAMED,volume,1.0,44
olmo3-7b,FAM-UNNAMED,Q(L3/T5),0.9714285714285714,70
olmo3-7b,FAM-UNNAMED,Q(LT),0.8088235294117647,68
olmo3-7b,FAM-UNNAMED,Q(M/T2),0.9558823529411765,68
olmo3-7b,FAM-UNNAMED,Q(M2/T),0.8676470588235294,68
olmo3-7b,FAM-UNNAMED,Q(M2L),0.7857142857142857,70
olmo3-7b,FAM-UNNAMED,Q(ML3),0.8088235294117647,68
olmo3-7b,FAM-UNNAMED,Q(T2/L),0.8382352941176471,68
olmo3-7b,INV-BASE,X1 per length,1.0,120
olmo3-7b,INV-BASE,X1 rate,1.0,120
olmo3-7b,INV-BASE,X1 squared per time,0.925,120
olmo3-7b,INV-BASE,X1 times length,0.6,120
olmo3-7b,INV-BASE-TWIN,X1 per length,1.0,120
olmo3-7b,INV-BASE-TWIN,X1 rate,0.9583333333333334,120
olmo3-7b,INV-BASE-TWIN,X1 squared per time,0.8583333333333333,120
olmo3-7b,INV-BASE-TWIN,X1 times length,0.7083333333333334,120
olmo3-7b,INV-LEX,Q(L3/T5),1.0,26
olmo3-7b,INV-LEX,Q(LT),0.9230769230769231,26
olmo3-7b,INV-LEX,Q(M/T2),0.8076923076923077,26
olmo3-7b,INV-LEX,Q(M2/T),0.8846153846153846,26
olmo3-7b,INV-LEX,Q(M2L),0.9230769230769231,26
olmo3-7b,INV-LEX,Q(ML3),0.7692307692307693,26
olmo3-7b,INV-LEX,Q(T2/L),1.0,26
olmo3-7b,INV-LEX,acceleration,1.0,28
olmo3-7b,INV-LEX,area,0.21428571428571427,28
olmo3-7b,INV-LEX,density,0.9642857142857143,28
olmo3-7b,INV-LEX,energy,0.9615384615384616,26
olmo3-7b,INV-LEX,flow rate,1.0,26
olmo3-7b,INV-LEX,force,1.0,28
olmo3-7b,INV-LEX,momentum,0.8846153846153846,26
olmo3-7b,INV-LEX,power,1.0,26
olmo3-7b,INV-LEX,pressure,0.6153846153846154,26
olmo3-7b,INV-LEX,speed,1.0,28
olmo3-7b,INV-LEX,volume,1.0,28
olmo3-7b,INV-LEX-TWIN,Q(L3/T5),0.8461538461538461,26
olmo3-7b,INV-LEX-TWIN,Q(LT),0.6923076923076923,26
olmo3-7b,INV-LEX-TWIN,Q(M/T2),0.8461538461538461,26
olmo3-7b,INV-LEX-TWIN,Q(M2/T),0.9230769230769231,26
olmo3-7b,INV-LEX-TWIN,Q(M2L),0.6153846153846154,26
olmo3-7b,INV-LEX-TWIN,Q(ML3),0.7307692307692307,26
olmo3-7b,INV-LEX-TWIN,Q(T2/L),0.8846153846153846,26
olmo3-7b,INV-LEX-TWIN,acceleration,0.9642857142857143,28
olmo3-7b,INV-LEX-TWIN,area,0.5,28
olmo3-7b,INV-LEX-TWIN,density,0.9642857142857143,28
olmo3-7b,INV-LEX-TWIN,energy,0.9615384615384616,26
olmo3-7b,INV-LEX-TWIN,flow rate,0.9615384615384616,26
olmo3-7b,INV-LEX-TWIN,force,1.0,28
olmo3-7b,INV-LEX-TWIN,momentum,0.7692307692307693,26
olmo3-7b,INV-LEX-TWIN,power,1.0,26
olmo3-7b,INV-LEX-TWIN,pressure,0.8846153846153846,26
olmo3-7b,INV-LEX-TWIN,speed,0.9642857142857143,28
olmo3-7b,INV-LEX-TWIN,volume,1.0,28
qwen3-4b-base,FAM-NAMED,acceleration,0.9772727272727273,44
qwen3-4b-base,FAM-NAMED,area,0.38636363636363635,44
qwen3-4b-base,FAM-NAMED,density,1.0,44
qwen3-4b-base,FAM-NAMED,energy,1.0,44
qwen3-4b-base,FAM-NAMED,flow rate,0.9761904761904762,42
qwen3-4b-base,FAM-NAMED,force,1.0,44
qwen3-4b-base,FAM-NAMED,momentum,0.7857142857142857,42
qwen3-4b-base,FAM-NAMED,power,1.0,44
qwen3-4b-base,FAM-NAMED,pressure,0.9772727272727273,44
qwen3-4b-base,FAM-NAMED,speed,1.0,44
qwen3-4b-base,FAM-NAMED,volume,1.0,44
qwen3-4b-base,FAM-UNNAMED,Q(L3/T5),0.9857142857142858,70
qwen3-4b-base,FAM-UNNAMED,Q(LT),0.8676470588235294,68
qwen3-4b-base,FAM-UNNAMED,Q(M/T2),0.9705882352941176,68
qwen3-4b-base,FAM-UNNAMED,Q(M2/T),0.9117647058823529,68
qwen3-4b-base,FAM-UNNAMED,Q(M2L),0.6,70
qwen3-4b-base,FAM-UNNAMED,Q(ML3),0.8382352941176471,68
qwen3-4b-base,FAM-UNNAMED,Q(T2/L),0.8529411764705882,68
qwen3-4b-base,INV-BASE,X1 per length,1.0,120
qwen3-4b-base,INV-BASE,X1 rate,1.0,120
qwen3-4b-base,INV-BASE,X1 squared per time,0.95,120
qwen3-4b-base,INV-BASE,X1 times length,0.8083333333333333,120
qwen3-4b-base,INV-BASE-TWIN,X1 per length,1.0,120
qwen3-4b-base,INV-BASE-TWIN,X1 rate,0.9583333333333334,120
qwen3-4b-base,INV-BASE-TWIN,X1 squared per time,0.6916666666666667,120
qwen3-4b-base,INV-BASE-TWIN,X1 times length,0.8,120
qwen3-4b-base,INV-LEX,Q(L3/T5),0.9615384615384616,26
qwen3-4b-base,INV-LEX,Q(LT),0.9615384615384616,26
qwen3-4b-base,INV-LEX,Q(M/T2),0.9230769230769231,26
qwen3-4b-base,INV-LEX,Q(M2/T),1.0,26
qwen3-4b-base,INV-LEX,Q(M2L),0.8461538461538461,26
qwen3-4b-base,INV-LEX,Q(ML3),0.7692307692307693,26
qwen3-4b-base,INV-LEX,Q(T2/L),0.9615384615384616,26
qwen3-4b-base,INV-LEX,acceleration,1.0,28
qwen3-4b-base,INV-LEX,area,0.4642857142857143,28
qwen3-4b-base,INV-LEX,density,0.9642857142857143,28
qwen3-4b-base,INV-LEX,energy,0.9615384615384616,26
qwen3-4b-base,INV-LEX,flow rate,1.0,26
qwen3-4b-base,INV-LEX,force,1.0,28
qwen3-4b-base,INV-LEX,momentum,1.0,26
qwen3-4b-base,INV-LEX,power,1.0,26
qwen3-4b-base,INV-LEX,pressure,0.8076923076923077,26
qwen3-4b-base,INV-LEX,speed,1.0,28
qwen3-4b-base,INV-LEX,volume,1.0,28
qwen3-4b-base,INV-LEX-TWIN,Q(L3/T5),0.9615384615384616,26
qwen3-4b-base,INV-LEX-TWIN,Q(LT),0.7307692307692307,26
qwen3-4b-base,INV-LEX-TWIN,Q(M/T2),0.8846153846153846,26
qwen3-4b-base,INV-LEX-TWIN,Q(M2/T),0.8461538461538461,26
qwen3-4b-base,INV-LEX-TWIN,Q(M2L),0.4230769230769231,26
qwen3-4b-base,INV-LEX-TWIN,Q(ML3),0.8076923076923077,26
qwen3-4b-base,INV-LEX-TWIN,Q(T2/L),0.8076923076923077,26
qwen3-4b-base,INV-LEX-TWIN,acceleration,0.8928571428571429,28
qwen3-4b-base,INV-LEX-TWIN,area,0.5,28
qwen3-4b-base,INV-LEX-TWIN,density,1.0,28
qwen3-4b-base,INV-LEX-TWIN,energy,0.9230769230769231,26
qwen3-4b-base,INV-LEX-TWIN,flow rate,0.9615384615384616,26
qwen3-4b-base,INV-LEX-TWIN,force,1.0,28
qwen3-4b-base,INV-LEX-TWIN,momentum,0.8846153846153846,26
qwen3-4b-base,INV-LEX-TWIN,power,1.0,26
qwen3-4b-base,INV-LEX-TWIN,pressure,0.9615384615384616,26
qwen3-4b-base,INV-LEX-TWIN,speed,0.9642857142857143,28
qwen3-4b-base,INV-LEX-TWIN,volume,1.0,28
qwen3-8b-base,FAM-NAMED,acceleration,0.9772727272727273,44
qwen3-8b-base,FAM-NAMED,area,0.36363636363636365,44
qwen3-8b-base,FAM-NAMED,density,1.0,44
qwen3-8b-base,FAM-NAMED,energy,1.0,44
qwen3-8b-base,FAM-NAMED,flow rate,1.0,42
qwen3-8b-base,FAM-NAMED,force,1.0,44
qwen3-8b-base,FAM-NAMED,momentum,1.0,42
qwen3-8b-base,FAM-NAMED,power,1.0,44
qwen3-8b-base,FAM-NAMED,pressure,0.9772727272727273,44
qwen3-8b-base,FAM-NAMED,speed,1.0,44
qwen3-8b-base,FAM-NAMED,volume,1.0,44
qwen3-8b-base,FAM-UNNAMED,Q(L3/T5),1.0,70
qwen3-8b-base,FAM-UNNAMED,Q(LT),0.8529411764705882,68
qwen3-8b-base,FAM-UNNAMED,Q(M/T2),0.9852941176470589,68
qwen3-8b-base,FAM-UNNAMED,Q(M2/T),0.9117647058823529,68
qwen3-8b-base,FAM-UNNAMED,Q(M2L),0.5714285714285714,70
qwen3-8b-base,FAM-UNNAMED,Q(ML3),0.7941176470588235,68
qwen3-8b-base,FAM-UNNAMED,Q(T2/L),0.8676470588235294,68
qwen3-8b-base,INV-BASE,X1 per length,1.0,120
qwen3-8b-base,INV-BASE,X1 rate,1.0,120
qwen3-8b-base,INV-BASE,X1 squared per time,0.95,120
qwen3-8b-base,INV-BASE,X1 times length,0.7083333333333334,120
qwen3-8b-base,INV-BASE-TWIN,X1 per length,1.0,120
qwen3-8b-base,INV-BASE-TWIN,X1 rate,1.0,120
qwen3-8b-base,INV-BASE-TWIN,X1 squared per time,0.8916666666666667,120
qwen3-8b-base,INV-BASE-TWIN,X1 times length,0.7916666666666666,120
qwen3-8b-base,INV-LEX,Q(L3/T5),1.0,26
qwen3-8b-base,INV-LEX,Q(LT),0.9230769230769231,26
qwen3-8b-base,INV-LEX,Q(M/T2),1.0,26
qwen3-8b-base,INV-LEX,Q(M2/T),1.0,26
qwen3-8b-base,INV-LEX,Q(M2L),0.9615384615384616,26
qwen3-8b-base,INV-LEX,Q(ML3),0.6538461538461539,26
qwen3-8b-base,INV-LEX,Q(T2/L),0.8461538461538461,26
qwen3-8b-base,INV-LEX,acceleration,1.0,28
qwen3-8b-base,INV-LEX,area,0.5714285714285714,28
qwen3-8b-base,INV-LEX,density,1.0,28
qwen3-8b-base,INV-LEX,energy,1.0,26
qwen3-8b-base,INV-LEX,flow rate,1.0,26
qwen3-8b-base,INV-LEX,force,1.0,28
qwen3-8b-base,INV-LEX,momentum,0.9615384615384616,26
qwen3-8b-base,INV-LEX,power,1.0,26
qwen3-8b-base,INV-LEX,pressure,0.9230769230769231,26
qwen3-8b-base,INV-LEX,speed,1.0,28
qwen3-8b-base,INV-LEX,volume,1.0,28
qwen3-8b-base,INV-LEX-TWIN,Q(L3/T5),1.0,26
qwen3-8b-base,INV-LEX-TWIN,Q(LT),0.6538461538461539,26
qwen3-8b-base,INV-LEX-TWIN,Q(M/T2),0.9615384615384616,26
qwen3-8b-base,INV-LEX-TWIN,Q(M2/T),0.9230769230769231,26
qwen3-8b-base,INV-LEX-TWIN,Q(M2L),0.34615384615384615,26
qwen3-8b-base,INV-LEX-TWIN,Q(ML3),0.7692307692307693,26
qwen3-8b-base,INV-LEX-TWIN,Q(T2/L),0.9230769230769231,26
qwen3-8b-base,INV-LEX-TWIN,acceleration,0.8928571428571429,28
qwen3-8b-base,INV-LEX-TWIN,area,0.5357142857142857,28
qwen3-8b-base,INV-LEX-TWIN,density,1.0,28
qwen3-8b-base,INV-LEX-TWIN,energy,1.0,26
qwen3-8b-base,INV-LEX-TWIN,flow rate,1.0,26
qwen3-8b-base,INV-LEX-TWIN,force,1.0,28
qwen3-8b-base,INV-LEX-TWIN,momentum,1.0,26
qwen3-8b-base,INV-LEX-TWIN,power,0.9615384615384616,26
qwen3-8b-base,INV-LEX-TWIN,pressure,1.0,26
qwen3-8b-base,INV-LEX-TWIN,speed,1.0,28
qwen3-8b-base,INV-LEX-TWIN,volume,1.0,28
